# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #001000
  2.647626483658185E+00  2.939508498308518E+19  2.583196218160643E+03  1.219544118106953E+06  1.216576645282991E+04  3.454927380758998E-07  5.400070063564874E+02  1.293698256544709E-01
  2.657070686186714E+00  2.938893982344800E+19  2.590586334623880E+03  1.216215771248454E+06  1.219799622704051E+04  3.440645867311937E-07  5.405141425401541E+02  1.213768767877467E-01
  2.666514888715241E+00  2.938268802167551E+19  2.599153489353671E+03  1.211525012525713E+06  1.223571218615512E+04  3.424156521196556E-07  5.411331943033933E+02  1.136242499824385E-01
  2.675959091243770E+00  2.937653388638239E+19  2.608950003798405E+03  1.206773841626037E+06  1.227924293299611E+04  3.405352845889232E-07  5.418767916164577E+02  1.061109736287160E-01
  2.685403293772298E+00  2.937049838028168E+19  2.619913517266177E+03  1.203594708693467E+06  1.232830076404529E+04  3.384362624288898E-07  5.427393090533801E+02  9.883984983536548E-02
  2.694847496300826E+00  2.936461512425349E+19  2.631791438603957E+03  1.202415111139156E+06  1.238170774680893E+04  3.361708620669297E-07  5.436963600043791E+02  9.180720071086532E-02
  2.704291698829356E+00  2.935908714263499E+19  2.644330775443242E+03  1.205322000564325E+06  1.243835638561487E+04  3.337908914328462E-07  5.447298827977734E+02  8.501923933067761E-02
  2.713735901357884E+00  2.935394192722366E+19  2.657247752737964E+03  1.209227445451321E+06  1.249692368572269E+04  3.313539232627845E-07  5.458124752816561E+02  7.847302910884239E-02
  2.723180103886411E+00  2.934910426274291E+19  2.670282394207198E+03  1.213715434909473E+06  1.255615615645179E+04  3.289119320075912E-07  5.469154831320900E+02  7.217601377224804E-02
  2.732624306414940E+00  2.934447733320007E+19  2.683176917911544E+03  1.216875657798292E+06  1.261480208056082E+04  3.265152197865058E-07  5.480098077975160E+02  6.612827235946117E-02
  2.742068508943468E+00  2.933998686735779E+19  2.695699638507418E+03  1.218828041174148E+06  1.267174251181430E+04  3.242078824085167E-07  5.490698940701000E+02  6.033295888569441E-02
  2.751512711471995E+00  2.933557421019261E+19  2.707638603042151E+03  1.220265772774337E+06  1.272595790286133E+04  3.220283645724197E-07  5.500729075742611E+02  5.479490602735528E-02
  2.760956914000523E+00  2.933119359986339E+19  2.718841973095248E+03  1.220243530272376E+06  1.277671659621380E+04  3.200025881880450E-07  5.510025314253880E+02  4.951201555099230E-02
  2.770401116529052E+00  2.932681757969232E+19  2.729172905626959E+03  1.220428840751990E+06  1.282336488632705E+04  3.181524242058521E-07  5.518447094244941E+02  4.449009050035138E-02
  2.779845319057580E+00  2.932242907073600E+19  2.738542706755799E+03  1.219907584532184E+06  1.286547995641001E+04  3.164900872735910E-07  5.525905967184483E+02  3.972838574572185E-02
  2.789289521586108E+00  2.931804321126504E+19  2.746916207730059E+03  1.218838687857687E+06  1.290290430501104E+04  3.150177983942578E-07  5.532378075025426E+02  3.522830195265256E-02
  2.798733724114636E+00  2.931368969494302E+19  2.754260562273139E+03  1.218392751383763E+06  1.293549784404623E+04  3.137373013060510E-07  5.537847399643401E+02  3.099402129356282E-02
  2.808177926643164E+00  2.930943677348726E+19  2.760607594588350E+03  1.217107152251623E+06  1.296344172460426E+04  3.126392090477688E-07  5.542375305469570E+02  2.702346914713223E-02
  2.817622129171693E+00  2.930530579375194E+19  2.766007161705890E+03  1.215936610265229E+06  1.298698108792871E+04  3.117115375462341E-07  5.546022484530247E+02  2.331979434770090E-02
  2.827066331700221E+00  2.930133701573090E+19  2.770517446682966E+03  1.215392874410005E+06  1.300640871759778E+04  3.109414652663736E-07  5.548864218863812E+02  1.988551214972380E-02
  2.836510534228750E+00  2.929762321014160E+19  2.774238822355589E+03  1.213934565854474E+06  1.302223892361981E+04  3.103095663728039E-07  5.551035671874347E+02  1.671932128321232E-02
  2.845954736757278E+00  2.929419648147229E+19  2.777263444884865E+03  1.212049845445863E+06  1.303492017471980E+04  3.097984343486000E-07  5.552640503641103E+02  1.382446952646542E-02
  2.855398939285805E+00  2.929104943128051E+19  2.779692030495727E+03  1.209507491334469E+06  1.304492363305911E+04  3.093897379937135E-07  5.553775148928756E+02  1.120255913705722E-02
  2.864843141814334E+00  2.928817391306226E+19  2.781620341979839E+03  1.205904845809123E+06  1.305269655748482E+04  3.090663810529884E-07  5.554530334863971E+02  8.852363231274842E-03
  2.874287344342862E+00  2.928569171008394E+19  2.783111983237696E+03  1.203074134131224E+06  1.305859265533617E+04  3.088169758964201E-07  5.555014297582829E+02  6.776118318710571E-03
  2.883731546871390E+00  2.928352507665860E+19  2.784243650855286E+03  1.200809029340120E+06  1.306293827257340E+04  3.086281985836363E-07  5.555272308169408E+02  4.974946633422823E-03
  2.893175749399918E+00  2.928152081040879E+19  2.785077850456457E+03  1.196879715279839E+06  1.306595928252797E+04  3.084892938835172E-07  5.555307201604023E+02  3.448092298119283E-03
  2.902619951928447E+00  2.928029824451276E+19  2.785615315288406E+03  1.194466395994859E+06  1.306793600413232E+04  3.083999223501826E-07  5.555353533160635E+02  2.197722894487468E-03
  2.912064154456975E+00  2.927996063981979E+19  2.785869295526759E+03  1.195362666938390E+06  1.306897712997890E+04  3.083577284438887E-07  5.555462118115164E+02  1.225106739858670E-03
  2.921508356985503E+00  2.927859532492787E+19  2.785927801475249E+03  1.194044267691253E+06  1.306864220328946E+04  3.083480134357016E-07  5.554996020049974E+02  5.310859704443292E-04
  2.930952559514031E+00  2.927753841182093E+19  2.785850543124843E+03  1.189378546813185E+06  1.306780804745751E+04  3.083608409694881E-07  5.554524708065710E+02  1.252760322794901E-04
  2.940396762042560E+00  2.927729347411621E+19  2.785758859244570E+03  1.181935751760236E+06  1.306726861639539E+04  3.083760648561006E-07  5.554355000305136E+02  1.446706594248167E-06
  2.949840964571089E+00  2.927679752341420E+19  2.785879511002177E+03  1.181309705156112E+06  1.306761325725093E+04  3.083560309842141E-07  5.554278713287260E+02  1.219628199102668E-04
  2.959285167099615E+00  2.927840359613205E+19  2.785930336723179E+03  1.179373410048939E+06  1.306856853468540E+04  3.083475926449103E-07  5.554936552142958E+02  5.372525489923321E-04
  2.968729369628144E+00  2.927990357428729E+19  2.785841650257251E+03  1.172469989918114E+06  1.306882193098823E+04  3.083623194442297E-07  5.555424979232548E+02  1.238114931612248E-03
  2.978173572156672E+00  2.928074669701433E+19  2.785511490081154E+03  1.163425347173397E+06  1.306764896233835E+04  3.084171764005838E-07  5.555435747596387E+02  2.219003749522759E-03
  2.987617774685199E+00  2.928238171009805E+19  2.784856974719298E+03  1.159434261587289E+06  1.306530690814079E+04  3.085260454161828E-07  5.555435832076389E+02  3.481304634919041E-03
  2.997061977213728E+00  2.928443773373460E+19  2.783871778843549E+03  1.156103685622131E+06  1.306159995707410E+04  3.086901835280691E-07  5.555278660827071E+02  5.023761284684194E-03
  3.006506179742257E+00  2.928666586750688E+19  2.782535222408737E+03  1.150713278336992E+06  1.305631939923697E+04  3.089133279445404E-07  5.554849955474306E+02  6.846329064333569E-03
  3.015950382270785E+00  2.928929168140298E+19  2.780763686771944E+03  1.146005630325923E+06  1.304917237472912E+04  3.092099083422287E-07  5.554153946095378E+02  8.950740549239465E-03
  3.025394584799313E+00  2.929230611340995E+19  2.778478297008739E+03  1.141695893363921E+06  1.303978336437602E+04  3.095938366894414E-07  5.553109910291103E+02  1.133555657078698E-02
  3.034838787327841E+00  2.929565598139371E+19  2.775600219136410E+03  1.137338829588525E+06  1.302775713417001E+04  3.100793928559520E-07  5.551620115119963E+02  1.400068454750974E-02
  3.044282989856368E+00  2.929925495675264E+19  2.772036693710112E+03  1.132701648549743E+06  1.301261823612452E+04  3.106836605474993E-07  5.549560674937909E+02  1.694836639099188E-02
  3.053727192384898E+00  2.930309355066413E+19  2.767686506787260E+03  1.127144392418087E+06  1.299388536091687E+04  3.114257007400503E-07  5.546827364196463E+02  2.017656611686714E-02
  3.063171394913425E+00  2.930714267086175E+19  2.762445632299741E+03  1.121004287777473E+06  1.297105510602856E+04  3.123257782977028E-07  5.543305017805926E+02  2.368528144256935E-02
  3.072615597441954E+00  2.931132706639340E+19  2.756238445345309E+03  1.115435869370456E+06  1.294373740443911E+04  3.134000451848676E-07  5.538887985226247E+02  2.747593327347101E-02
  3.082059799970482E+00  2.931560602445241E+19  2.749018486380696E+03  1.109443325705935E+06  1.291169425601537E+04  3.146603206141523E-07  5.533510993242237E+02  3.154536891212703E-02
  3.091504002499009E+00  2.931992008286426E+19  2.740748928363240E+03  1.103601425254014E+06  1.287472509399205E+04  3.161173369958032E-07  5.527110672743436E+02  3.589525322890078E-02
  3.100948205027537E+00  2.932423450077397E+19  2.731468475515309E+03  1.097901480146517E+06  1.283299543916319E+04  3.177687747339780E-07  5.519706376334825E+02  4.052528239852729E-02
  3.110392407556066E+00  2.932853884516000E+19  2.721239264919049E+03  1.091285122816468E+06  1.278679160352562E+04  3.196079197838905E-07  5.511349743731209E+02  4.543241021252644E-02
  3.119836610084594E+00  2.933284620271112E+19  2.710163857019035E+03  1.084637207755679E+06  1.273660029328778E+04  3.216199688384597E-07  5.502141645255995E+02  5.061995226313676E-02
  3.129280812613122E+00  2.933721197689858E+19  2.698419564676819E+03  1.076920250041340E+06  1.268327740702781E+04  3.237751617876062E-07  5.492273256404158E+02  5.608389994762285E-02
  3.138725015141651E+00  2.934170664828042E+19  2.686189634979735E+03  1.067792132279454E+06  1.262771279714079E+04  3.260405717305474E-07  5.481949090459659E+02  6.182419933534387E-02
  3.148169217670179E+00  2.934643633289342E+19  2.673714788946301E+03  1.057825490100942E+06  1.257108129513474E+04  3.283704723291487E-07  5.471445313563745E+02  6.784046868490368E-02
  3.157613420198706E+00  2.935150527397577E+19  2.661262477076525E+03  1.047065421112170E+06  1.251468249096833E+04  3.307117688490848E-07  5.461066067995125E+02  7.412726637615115E-02
  3.167057622727235E+00  2.935693401679102E+19  2.649076313407624E+03  1.037944179705329E+06  1.245966970621403E+04  3.330142163099912E-07  5.451063154609074E+02  8.068704792662515E-02
  3.176501825255763E+00  2.936270085651432E+19  2.637428909468400E+03  1.031238144173981E+06  1.240731688034128E+04  3.352213159886576E-07  5.441703216839887E+02  8.751331465715019E-02
  3.185946027784291E+00  2.936882675065725E+19  2.626566015996164E+03  1.026563972254794E+06  1.235879025906141E+04  3.372810418931743E-07  5.433242969844696E+02  9.460968831857042E-02
  3.195390230312820E+00  2.937518979014181E+19  2.616707111912359E+03  1.022635929991811E+06  1.231507485896737E+04  3.391479170840746E-07  5.425860595568538E+02  1.019728914208799E-01
  3.204834432841347E+00  2.938160775092412E+19  2.607934124761986E+03  1.019153170804550E+06  1.227648429259790E+04  3.408054374677981E-07  5.419573548067015E+02  1.096051075973150E-01
  3.214278635369876E+00  2.938790244995961E+19  2.600083957678134E+03  1.015234656196100E+06  1.224217880827585E+04  3.422887915895804E-07  5.414151524155836E+02  1.175063259821166E-01
  3.223722837898405E+00  2.939392338320978E+19  2.593006737360411E+03  1.011122241842062E+06  1.221139112751069E+04  3.436301775670419E-07  5.409387380563469E+02  1.256758908869153E-01
  3.233167040426932E+00  2.939965872019302E+19  2.586669511890861E+03  1.007054348762956E+06  1.218396026450237E+04  3.448368860623735E-07  5.405242950175325E+02  1.341158986148006E-01
  3.242611242955460E+00  2.940507225266990E+19  2.581165420031304E+03  1.002350925940560E+06  1.216030916535237E+04  3.458897375225056E-07  5.401799544039534E+02  1.428238810642147E-01
  3.252055445483989E+00  2.940988592780511E+19  2.576546900043174E+03  9.964603098840851E+05  1.214057207204173E+04  3.467772705830510E-07  5.399012367669432E+02  1.518026218220588E-01
  3.261499648012518E+00  2.941376753126727E+19  2.572653907449774E+03  9.879382820325184E+05  1.212385799376575E+04  3.475313228369461E-07  5.396602028984885E+02  1.610483851077043E-01
