# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000010
  2.968720009660444E+00  2.928947781988078E+19  2.521409186447891E+03  1.176393444091385E+06  1.183219544821415E+04  3.581219522334858E-07  5.441625517946013E+02  1.455322762192293E-03
  2.978164138437609E+00  2.929058550133427E+19  2.521430875117593E+03  1.171954628628532E+06  1.183274470510671E+04  3.581173315404646E-07  5.459567764178241E+02  2.501597713124355E-03
  2.987608267214773E+00  2.929200791796398E+19  2.521438098347216E+03  1.167424873925675E+06  1.183335322908671E+04  3.581157926794472E-07  5.479361903660806E+02  3.830524991533558E-03
  2.997052395991938E+00  2.929375270551207E+19  2.521416668364939E+03  1.162755720121439E+06  1.183395750747332E+04  3.581203582267601E-07  5.501411001172603E+02  5.441361947646342E-03
  3.006496524769102E+00  2.929582988704814E+19  2.521352738982143E+03  1.157920138226075E+06  1.183449657192713E+04  3.581339786287590E-07  5.526076144754807E+02  7.334311867075078E-03
  3.015940653546268E+00  2.929825553537248E+19  2.521227126103923E+03  1.152951531111897E+06  1.183488681036271E+04  3.581607434527415E-07  5.553609825291519E+02  9.510538963244358E-03
  3.025384782323430E+00  2.930104148148036E+19  2.521013357041776E+03  1.147830793677133E+06  1.183500863133578E+04  3.582062997222322E-07  5.584376031260799E+02  1.196876842901836E-02
  3.034828911100596E+00  2.930420132616665E+19  2.520688732314855E+03  1.142546508910905E+06  1.183476079742129E+04  3.582754988846457E-07  5.618738912117549E+02  1.470882942301382E-02
  3.044273039877760E+00  2.930775257948031E+19  2.520232152789660E+03  1.137114596567906E+06  1.183405107877789E+04  3.583728641207757E-07  5.657121622151632E+02  1.773220753939490E-02
  3.053717168654924E+00  2.931170755506044E+19  2.519602701545195E+03  1.131519532238130E+06  1.183269197896550E+04  3.585071664454001E-07  5.700008637053861E+02  2.103694457246081E-02
  3.063161297432088E+00  2.931608122276109E+19  2.518772273351507E+03  1.125755978921565E+06  1.183055707942618E+04  3.586844784234890E-07  5.747894234428393E+02  2.462301135128313E-02
  3.072605426209253E+00  2.932088900229294E+19  2.517717319591344E+03  1.119831210315950E+06  1.182754138573930E+04  3.589099416863302E-07  5.801401130283416E+02  2.849169290175125E-02
  3.082049554986418E+00  2.932613925520006E+19  2.516377597012238E+03  1.113726723650588E+06  1.182336447326382E+04  3.591966059855737E-07  5.861193529049461E+02  3.264007278486930E-02
  3.091493683763582E+00  2.933184539609392E+19  2.514736140431647E+03  1.107446446811751E+06  1.181795101576863E+04  3.595483537256746E-07  5.927991047214588E+02  3.706954990556565E-02
  3.100937812540747E+00  2.933801367098049E+19  2.512750688933734E+03  1.100986613842775E+06  1.181110369454278E+04  3.599745839227857E-07  6.002693278955892E+02  4.177961899140291E-02
  3.110381941317912E+00  2.934464563299493E+19  2.510349920999192E+03  1.094328977039347E+06  1.180248635309418E+04  3.604910987844225E-07  6.086211972666295E+02  4.676728892664139E-02
  3.119826070095076E+00  2.935174661057863E+19  2.507538282368767E+03  1.087485941960145E+06  1.179212018001549E+04  3.610975829063533E-07  6.179641181844061E+02  5.203540831129077E-02
  3.129270198872240E+00  2.935930692279975E+19  2.504227465237168E+03  1.080437437747668E+06  1.177958386552687E+04  3.618139254566169E-07  6.284230524371189E+02  5.758028279125336E-02
  3.138714327649405E+00  2.936732005131244E+19  2.500386674024129E+03  1.073181289816692E+06  1.176472735515415E+04  3.626479076225926E-07  6.401287631887183E+02  6.340199989112626E-02
  3.148158456426569E+00  2.937576997535685E+19  2.495986838005187E+03  1.065718238014929E+06  1.174740454309085E+04  3.636072241491336E-07  6.532456078169741E+02  6.950080363723814E-02
  3.157602585203734E+00  2.938463082383016E+19  2.490926183297792E+03  1.058025599758535E+06  1.172712276472943E+04  3.647158629187983E-07  6.679427538436246E+02  7.587246878937154E-02
  3.167046713980899E+00  2.939387803686101E+19  2.485231435695809E+03  1.050118677955080E+06  1.170399428995463E+04  3.659701650994520E-07  6.844229878198998E+02  8.252018634077631E-02
  3.176490842758063E+00  2.940346590174636E+19  2.478770230638522E+03  1.041968819164325E+06  1.167737352400940E+04  3.674020133345229E-07  7.029135089849481E+02  8.943816072153189E-02
  3.185934971535227E+00  2.941335355130687E+19  2.471569995767342E+03  1.033589033338346E+06  1.164736894783440E+04  3.690086681153129E-07  7.236629399927335E+02  9.662916577814504E-02
  3.195379100312392E+00  2.942347661554309E+19  2.463520726828942E+03  1.024958918668653E+06  1.161343202602581E+04  3.708186843018965E-07  7.469720231111186E+02  1.040886129385199E-01
  3.204823229089556E+00  2.943377074326511E+19  2.454607249205055E+03  1.016079018633451E+06  1.157546084840436E+04  3.728403618266825E-07  7.731538086452962E+02  1.118167375393601E-01
  3.214267357866722E+00  2.944415228099491E+19  2.444773195456993E+03  1.006942800582836E+06  1.153315172671520E+04  3.750922374824347E-07  8.025965709868567E+02  1.198114380372261E-01
  3.223711486643885E+00  2.945452895406397E+19  2.433950610560250E+03  9.975386523040147E+05  1.148614298061143E+04  3.775967933535057E-07  8.357044991388559E+02  1.280700757739526E-01
  3.233155615421049E+00  2.946479424477032E+19  2.422131916846407E+03  9.878698227700315E+05  1.143435259624117E+04  3.803638641451779E-07  8.729721197500994E+02  1.365925782919978E-01
  3.242599744198214E+00  2.947482608984688E+19  2.409218134442579E+03  9.779193395060500E+05  1.137726175189998E+04  3.834261724653123E-07  9.149252205432686E+02  1.453744915640978E-01
  3.252043872975378E+00  2.948449000597012E+19  2.395224878503988E+03  9.676936810180199E+05  1.131488877262712E+04  3.867911232900525E-07  9.621941565196272E+02  1.544164764266646E-01
  3.261488001752543E+00  2.949363270879792E+19  2.380047488423453E+03  9.571753499573971E+05  1.124667810180544E+04  3.904968237660871E-07  1.015460302896305E+03  1.637133898543976E-01
  3.270932130529707E+00  2.950208721219246E+19  2.363703349030265E+03  9.463708886178547E+05  1.117264727355474E+04  3.945540300447522E-07  1.075532490825246E+03  1.732655477156212E-01
  3.280376259306872E+00  2.950966734245623E+19  2.346105165515004E+03  9.352653927020571E+05  1.109231424279228E+04  3.990016815022972E-07  1.143286758572386E+03  1.830682010782919E-01
  3.289820388084036E+00  2.951616988885774E+19  2.327248608793883E+03  9.238616586936503E+05  1.100558559364231E+04  4.038608643835505E-07  1.219768684580534E+03  1.931200606716620E-01
  3.299264516861201E+00  2.952137375750234E+19  2.307095316527722E+03  9.121528134960242E+05  1.091220398587473E+04  4.091642049420928E-07  1.306094353340559E+03  2.034182752929811E-01
  3.308708645638365E+00  2.952503721955782E+19  2.285589443113206E+03  9.001329416389238E+05  1.081182606085747E+04  4.149527120239058E-07  1.403620097832572E+03  2.139584479415025E-01
  3.318152774415529E+00  2.952690102457873E+19  2.262766003079717E+03  8.878061470276882E+05  1.070453701825554E+04  4.212466614254263E-07  1.513763812083673E+03  2.247407360979157E-01
  3.327596903192693E+00  2.952668476118060E+19  2.238510378237483E+03  8.751583058905534E+05  1.058971262203141E+04  4.281118717361495E-07  1.638270310844228E+03  2.357572300407619E-01
  3.337041031969858E+00  2.952408734064324E+19  2.212915406989238E+03  8.622001935652433E+05  1.046770967730039E+04  4.355607337627668E-07  1.778958148690266E+03  2.470102998858263E-01
  3.346485160747024E+00  2.951878984419719E+19  2.185847800798318E+03  8.489164938069265E+05  1.033781707510238E+04  4.436761268270228E-07  1.938023315543371E+03  2.584904029228022E-01
  3.355929289524187E+00  2.951044858663185E+19  2.157398671835222E+03  8.353170451247010E+05  1.020038568953035E+04  4.524809805848253E-07  2.117834696857301E+03  2.701990740257391E-01
  3.365373418301351E+00  2.949870259848412E+19  2.127497316105892E+03  8.213930394903263E+05  1.005500547309919E+04  4.620536530494287E-07  2.321077360567087E+03  2.821293581173413E-01
  3.374817547078516E+00  2.948317094553784E+19  2.096152020712108E+03  8.071482273709455E+05  9.901644771424555E+03  4.724564423579217E-07  2.550851327034997E+03  2.942774060513285E-01
  3.384261675855681E+00  2.946344309766569E+19  2.063418649477409E+03  7.925819596599350E+05  9.740499392376789E+03  4.837432436274542E-07  2.810404746689793E+03  3.066426482258938E-01
  3.393705804632845E+00  2.943910581075464E+19  2.029218175386698E+03  7.776935021849974E+05  9.571141416750943E+03  4.960241529491402E-07  3.103652863849941E+03  3.192151669860806E-01
  3.403149933410009E+00  2.940970552902521E+19  1.993644881063954E+03  7.624869379665316E+05  9.393963167715679E+03  5.093592959563199E-07  3.434683159555743E+03  3.319957707324777E-01
  3.412594062187174E+00  2.937478222363944E+19  1.956674414946637E+03  7.469608430657642E+05  9.208811789041109E+03  5.238634395112102E-07  3.808088549833483E+03  3.449772603939258E-01
