# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000000
  2.804796028906762E+00  2.931889412694972E+19  7.554189497971147E+03  1.231229254492642E+06  3.548508380350254E+04  3.588360018521119E-07  8.971155732969692E+02  2.777337062255835E-02
  2.814202014528945E+00  2.931437871556866E+19  7.557058496367301E+03  1.228782081855777E+06  3.549309350588957E+04  3.586316758838094E-07  8.970095532128080E+02  2.412717222027628E-02
  2.823608000151128E+00  2.931025607077524E+19  7.559303169275510E+03  1.226184627496429E+06  3.549864294400881E+04  3.584719486525626E-07  8.968904400349118E+02  2.073431957308656E-02
  2.833013985773310E+00  2.930651427861148E+19  7.561012637359920E+03  1.223447164747184E+06  3.550213780530960E+04  3.583503852297701E-07  8.967628380492652E+02  1.759556199928430E-02
  2.842419971395494E+00  2.930314104175910E+19  7.562270419488217E+03  1.220579328511042E+06  3.550395657702192E+04  3.582609858940358E-07  8.966309800663630E+02  1.471194610228296E-02
  2.851825957017678E+00  2.930012328583836E+19  7.563154256055290E+03  1.217590369090450E+06  3.550444931585767E+04  3.581981877086169E-07  8.964986965362477E+02  1.208413399940416E-02
  2.861231942639860E+00  2.929744796136468E+19  7.563736146889722E+03  1.214489019327618E+06  3.550393886637130E+04  3.581568533278005E-07  8.963694699510024E+02  9.712757517370853E-03
  2.870637928262043E+00  2.929510265377846E+19  7.564081665029566E+03  1.211283351387387E+06  3.550271844067438E+04  3.581323133475321E-07  8.962464340371585E+02  7.598711395067386E-03
  2.880043913884226E+00  2.929307522846828E+19  7.564249661953405E+03  1.207980997807321E+06  3.550104985964454E+04  3.581203825951903E-07  8.961323366335305E+02  5.742502516579861E-03
  2.889449899506409E+00  2.929135453192566E+19  7.564292827217870E+03  1.204589009044814E+06  3.549916707640581E+04  3.581173172050756E-07  8.960296173733477E+02  4.144757818031764E-03
  2.898855885128591E+00  2.928993072046060E+19  7.564256363716790E+03  1.201113796938343E+06  3.549727039731396E+04  3.581199066652204E-07  8.959403505787122E+02  2.806153130623811E-03
  2.908261870750775E+00  2.928879503835751E+19  7.564178589317473E+03  1.197561285478660E+06  3.549552907026971E+04  3.581254299282998E-07  8.958662682823560E+02  1.727107954230029E-03
  2.917667856372958E+00  2.928794042910474E+19  7.564090960059328E+03  1.193936754595016E+06  3.549408216103546E+04  3.581316532187394E-07  8.958087996873664E+02  9.082632306723295E-04
  2.927073841995142E+00  2.928736151087003E+19  7.564016687950047E+03  1.190244899143125E+06  3.549303205857785E+04  3.581369280468522E-07  8.957689883126286E+02  3.500320705514783E-04
  2.936479827617325E+00  2.928705451602841E+19  7.563972659957824E+03  1.186489780559139E+06  3.549245342220724E+04  3.581400549895719E-07  8.957476022638227E+02  5.289699665028269E-05
  2.945885813239507E+00  2.928701781381607E+19  7.563967067722293E+03  1.182675055272306E+06  3.549238270302569E+04  3.581404521628857E-07  8.957450260596663E+02  1.729489323793367E-05
  2.955291798861691E+00  2.928725146148567E+19  7.564001322323753E+03  1.178803748878388E+06  3.549282659027357E+04  3.581380193345367E-07  8.957613466603450E+02  2.436170347458864E-04
  2.964697784483874E+00  2.928775755264250E+19  7.564068815411583E+03  1.174877989702557E+06  3.549375662098460E+04  3.581332259249056E-07  8.957963014348695E+02  7.322355451656431E-04
  2.974103770106057E+00  2.928854019014919E+19  7.564155069677501E+03  1.170899588342123E+06  3.549510984903050E+04  3.581271002380000E-07  8.958492853382575E+02  1.483543522541743E-03
  2.983509755728241E+00  2.928960511434666E+19  7.564238613275567E+03  1.166869794833370E+06  3.549679248862722E+04  3.581211672263439E-07  8.959193797728879E+02  2.497847929156158E-03
  2.992915741350423E+00  2.929096005492399E+19  7.564289322583822E+03  1.162789202681812E+06  3.549867254960461E+04  3.581175660857506E-07  8.960052756766900E+02  3.775413643131208E-03
  3.002321726972606E+00  2.929261435299599E+19  7.564270404308241E+03  1.158657867379643E+06  3.550058866040953E+04  3.581189095671466E-07  8.961053673231256E+02  5.316639553367089E-03
  3.011727712594790E+00  2.929457866847496E+19  7.564136956942064E+03  1.154475338957647E+06  3.550234293625428E+04  3.581283865708637E-07  8.962176485622883E+02  7.121612137603876E-03
  3.021133698216973E+00  2.929686525277988E+19  7.563836643858513E+03  1.150240542264009E+06  3.550370443464132E+04  3.581497153711825E-07  8.963397684405156E+02  9.190684750270878E-03
  3.030539683839156E+00  2.929948725863028E+19  7.563310226773418E+03  1.145951947764342E+06  3.550441078193836E+04  3.581871076116363E-07  8.964690193347867E+02  1.152406451407989E-02
  3.039945669461340E+00  2.930245854853127E+19  7.562490735602662E+03  1.141607516187673E+06  3.550416399567526E+04  3.582453303191216E-07  8.966022744075560E+02  1.412178350658753E-02
  3.049351655083522E+00  2.930579383141219E+19  7.561304366804468E+03  1.137204633112179E+06  3.550263480890401E+04  3.583296466748711E-07  8.967360470882754E+02  1.698418205785089E-02
  3.058757640705704E+00  2.930950771981282E+19  7.559670650191754E+03  1.132740298228303E+06  3.549946224470490E+04  3.584458106092542E-07  8.968664406337700E+02  2.011130251118827E-02
  3.068163626327888E+00  2.931361456340513E+19  7.557502190080648E+03  1.128211035372235E+06  3.549425212370133E+04  3.586000939641842E-07  8.969891193263891E+02  2.350312137624209E-02
  3.077569611950072E+00  2.931812845707888E+19  7.554705180932480E+03  1.123612847037711E+06  3.548657941033301E+04  3.587992613473924E-07  8.970993355877870E+02  2.715987397324826E-02
  3.086975597572255E+00  2.932306233300412E+19  7.551179778574602E+03  1.118941365401076E+06  3.547598876447491E+04  3.590505583812727E-07  8.971918917440839E+02  3.108160787522639E-02
  3.096381583194437E+00  2.932842725557154E+19  7.546820337319314E+03  1.114191881665680E+06  3.546199470372417E+04  3.593617130999537E-07  8.972611054665601E+02  3.526810027770721E-02
  3.105787568816622E+00  2.933423268088208E+19  7.541515371419474E+03  1.109359189532421E+06  3.544408163236259E+04  3.597409611869585E-07  8.973008169993786E+02  3.971943422999438E-02
